Territorio;Año;Mes;Año_mes;Precio medio;Nombre del Producto;Indicador
Canarias;2020;septiembre;2020-09;6.94;Aguacates;Precio medio en destino
Canarias;2020;septiembre;2020-09;5.73;Aguacates;Precio medio en merca
Canarias;2020;septiembre;2020-09;3.67;Aguacates;Precio medio en origen
Canarias;2020;septiembre;2020-09;2.47;Batatas y boniatos;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.30;Batatas y boniatos;Precio medio en merca
Canarias;2020;septiembre;2020-09;1.00;Batatas y boniatos;Precio medio en origen
Canarias;2020;septiembre;2020-09;1.69;Berenjenas;Precio medio en destino
Canarias;2020;septiembre;2020-09;0.90;Berenjenas;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.58;Berenjenas;Precio medio en origen
Canarias;2020;septiembre;2020-09;3.59;Berros;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.55;Berros;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.71;Berros;Precio medio en origen
Canarias;2020;septiembre;2020-09;3.97;Brócoli;Precio medio en destino
Canarias;2020;septiembre;2020-09;2.50;Brócoli;Precio medio en merca
Canarias;2020;septiembre;2020-09;1.72;Brócoli;Precio medio en origen
Canarias;2020;septiembre;2020-09;2.31;Bubangos;Precio medio en destino
Canarias;2020;septiembre;2020-09;2.13;Bubangos;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.82;Bubangos;Precio medio en origen
Canarias;2020;septiembre;2020-09;2.79;Calabacines;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.95;Calabacines;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.95;Calabacines;Precio medio en origen
Canarias;2020;septiembre;2020-09;1.44;Calabazas;Precio medio en destino
Canarias;2020;septiembre;2020-09;0.60;Calabazas;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.42;Calabazas;Precio medio en origen
Canarias;2020;septiembre;2020-09;1.51;Cebollas;Precio medio en destino
Canarias;2020;septiembre;2020-09;0.91;Cebollas;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.51;Cebollas;Precio medio en origen
Canarias;2020;septiembre;2020-09;1.13;Cebolletas;Precio medio en origen
Canarias;2020;septiembre;2020-09;1.86;Coles;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.33;Coles;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.72;Coles;Precio medio en origen
Canarias;2020;septiembre;2020-09;2.51;Coliflores;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.46;Coliflores;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.75;Coliflores;Precio medio en origen
Canarias;2020;septiembre;2020-09;8.05;Fresas;Precio medio en destino
Canarias;2020;septiembre;2020-09;11.95;Fresas;Precio medio en merca
Canarias;2020;septiembre;2020-09;4.33;Fresas;Precio medio en origen
Canarias;2020;septiembre;2020-09;5.73;Judías verdes;Precio medio en destino
Canarias;2020;septiembre;2020-09;4.17;Judías verdes;Precio medio en merca
Canarias;2020;septiembre;2020-09;2.14;Judías verdes;Precio medio en origen
Canarias;2020;septiembre;2020-09;2.44;Lechugas;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.04;Lechugas;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.56;Lechugas;Precio medio en origen
Canarias;2020;septiembre;2020-09;1.84;Limones;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.08;Limones;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.71;Limones;Precio medio en origen
Canarias;2020;septiembre;2020-09;2.80;Mandarinas;Precio medio en destino
Canarias;2020;septiembre;2020-09;2.03;Mandarinas;Precio medio en merca
Canarias;2020;septiembre;2020-09;3.55;Mangos;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.96;Mangos;Precio medio en merca
Canarias;2020;septiembre;2020-09;1.63;Mangos;Precio medio en origen
